Date;Open;High;Low;Close;Number of Shares;Number of Trades;Turnover
01/02/2021;5441.43;5481.67;5429.78;5461.68;0;0;3103597509
02/02/2021;5510.62;5574.77;5509.24;5563.11;0;0;4098061444
03/02/2021;5610.59;5626.41;5554.09;5563.05;0;0;3233988575
04/02/2021;5568.39;5613.95;5566.58;5608.54;0;0;3422377106
05/02/2021;5638.74;5673.03;5627.84;5659.26;0;0;3855599920
08/02/2021;5688.68;5714.28;5673.63;5686.03;0;0;3258059383
09/02/2021;5703.53;5703.53;5674.43;5691.54;0;0;3127998134
10/02/2021;5719.32;5719.32;5647.28;5670.80;0;0;3198182583
11/02/2021;5684.94;5692.00;5656.80;5669.82;0;0;3407689318
12/02/2021;5651.67;5705.02;5627.99;5703.67;0;0;3124822967
15/02/2021;5732.30;5801.38;5722.16;5786.25;0;0;3664757424
16/02/2021;5796.43;5797.92;5768.96;5786.53;0;0;2975032888
17/02/2021;5762.01;5790.27;5752.85;5765.84;0;0;3862542565
18/02/2021;5757.75;5779.01;5720.58;5728.33;0;0;3568635162
19/02/2021;5737.19;5784.90;5733.84;5773.55;0;0;4266584409
22/02/2021;5737.47;5776.64;5703.48;5767.44;0;0;3370734679
23/02/2021;5781.24;5804.90;5721.92;5779.84;0;0;4023501736
24/02/2021;5769.21;5804.14;5758.30;5797.98;0;0;3581025684
25/02/2021;5824.72;5834.36;5783.89;5783.89;0;0;4149531987
26/02/2021;5715.69;5768.03;5688.26;5703.22;0;0;5147332265
01/03/2021;5770.89;5804.35;5765.80;5792.79;0;0;3580073604
02/03/2021;5774.62;5835.74;5773.52;5809.73;0;0;3311834165
03/03/2021;5841.20;5871.43;5788.66;5830.06;0;0;3667147896
04/03/2021;5800.73;5844.69;5797.67;5830.65;0;0;3982547162
05/03/2021;5794.48;5837.55;5755.60;5782.65;0;0;4209094587
08/03/2021;5822.92;5912.50;5799.05;5902.99;0;0;4454002652
09/03/2021;5903.26;5937.81;5895.33;5924.97;0;0;4126244173
10/03/2021;5915.17;5993.63;5912.35;5990.55;0;0;3735255484
11/03/2021;6004.16;6033.76;5995.41;6033.76;0;0;3687582358
12/03/2021;6030.63;6046.55;6017.41;6046.55;0;0;3217780236
15/03/2021;6069.09;6089.20;6018.55;6035.97;0;0;3467437009
16/03/2021;6050.40;6061.19;6034.76;6055.43;0;0;3806112011
17/03/2021;6048.31;6062.36;6037.25;6054.82;0;0;3471640837
18/03/2021;6076.21;6082.92;6044.32;6062.79;0;0;3898485940
19/03/2021;6021.13;6047.65;5983.61;5997.96;0;0;10631426284
22/03/2021;5960.85;5987.23;5943.71;5968.48;0;0;3134928869
23/03/2021;5943.31;5968.56;5921.83;5945.30;0;0;3207356612
24/03/2021;5901.64;5948.67;5890.55;5947.29;0;0;3381014167
25/03/2021;5911.04;5952.41;5886.00;5952.41;0;0;3153878596
26/03/2021;5979.23;6002.95;5962.46;5988.81;0;0;3332589346
29/03/2021;5995.00;6029.59;5985.36;6015.51;0;0;2777871290
30/03/2021;6044.54;6095.08;6041.39;6088.04;0;0;3425420701
